시설종류,시설명,CCTV설치여부,CCTV설치대수,보호구역도로폭,보호구역_경도,보호구역_위도
초등학교,오산원일초등학교,Y,2,12,127.0716946,37.1392033
초등학교,운암초등학교,Y,2,6,127.0762159,37.1438536
어린이집,시립남부어린이집,Y,1,12,127.0723256,37.138565
어린이집,세교복지타운어린이집,Y,1,15,127.044835,37.17775181
초등학교,금암초등학교,Y,2,6,127.043949,37.1787337
유치원,오르다유치원,Y,1,6,127.0795105,37.1439127
어린이집,시립매홀어린이집,Y,1,13,127.0588254,37.172027
어린이집,아이사랑어린이집,Y,1,6,127.073235,37.1339152
초등학교,문시초등학교,Y,1,12,127.0452751,37.174282
어린이집,청원어린이집,Y,1,6,127.0723906,37.1537064
초등학교,세미초등학교,N,1,15,127.0643862,37.1744822
어린이집,해오름어린이집,Y,1,6,127.0843344,37.1323452
어린이집,키즈청호어린이집,Y,1,3,127.083875,37.1353187
유치원,지예뜰유치원,Y,1,6,127.0838707,37.1375698
어린이집,아이펀 어린이집,Y,1,6,127.0497901,37.1401373
초등학교,대호초등학교,Y,3,12,127.0578885,37.1591063
유치원,대일유치원,Y,1,6,127.0705773,37.1335498
어린이집,시립오산어린이집,Y,1,5,127.0711383,37.1471186
초등학교,필봉초등학교,Y,1,12,127.0523812,37.1788276
초등학교,광성초등학교,Y,2,12,127.0397087,37.1841969
초등학교,성산초등학교,Y,3,12,127.0670404,37.1504441
초등학교,오산고현초등학교,Y,2,12,127.0851446,37.1334168
어린이집,시립생명숲어린이집,Y,1,6,127.0489504,37.17234844
어린이집,미래숲어린이집,Y,1,6,127.044384,37.1453259
초등학교,오산초등학교,Y,3,6,127.0501654,37.1451578
어린이집,시립세마어린이집,Y,1,12,127.0449164,37.1846082
초등학교,운산초등학교,Y,2,12,127.0775339,37.1526399
유치원,오산유치원,N,0,3,127.0695488,37.1527025
어린이집,늘해랑어린이집,Y,1,7,127.056815,37.161017
어린이집,로뎀장애아전담 어린이집,Y,1,4,127.069042,37.1577055
어린이집,자연어린이집,Y,1,6,127.0812905,37.1408118
초등학교,삼미초등학교,Y,2,6,127.0602693,37.1913557
유치원,창의나라 유치원,Y,1,6,127.0494621,37.171456
어린이집,중앙어린이집,N,0,13,127.0637019,37.1534266
어린이집,시립은여울어린이집,N,0,20,127.0668603,37.1709522
